nid,openchannels,capacity
0,6,2850000
1,1,100000
2,23,42273095
3,0,0
4,0,0
5,0,0
6,1,100000
7,1,50000
8,17,30278240
9,490,2677527199
10,1,100000
11,3,1489544
12,9,1470151
13,1,2480000
14,5,702752
15,3,2277123
16,0,0
17,15,18565000
18,2,3048000
19,28,56658312
20,0,0
21,3,159470
22,2,201050
23,0,0
24,0,0
25,0,0
26,1,49000
27,0,0
28,0,0
29,2,529629
30,0,0
31,0,0
32,3,1290000
33,1,23258
34,0,0
35,4,4257754
36,0,0
37,4,208702
38,10,19252863
39,9,4751337
40,8,626404
41,4,8314632
42,3,2554600
43,1,96942
44,12,467289
45,0,0
46,1,100000
47,0,0
48,3,14000
49,0,0
50,0,0
51,0,0
52,0,0
53,3,70000
54,0,0
55,1,20000
56,1,60000
57,3,1090000
58,14,14438907
59,1,21200
60,3,289346
61,21,273528179
62,6,621736
63,5,14250000
64,0,0
65,1,100000
66,66,601864390
67,3,1403549
68,19,24930634
69,1,19617126
70,6,1353126
71,0,0
72,1,60000
73,5,3290000
74,2,450000
75,3,850000
76,14,1586646
77,0,0
78,11,3812846
79,1,100000
80,1,200000
81,2,70000
82,0,0
83,6,1127001
84,2,1600000
85,2,40000
86,3,17317428
87,3,7014000
88,1,100000
89,2,200000
90,0,0
91,1,9000000
92,12,418000
93,1,2000
94,0,0
95,2,392600
96,19,1790000
97,12,35138626
98,0,0
99,1,276166
100,17,80973811
101,3,13274740
102,14,15301265
103,0,0
104,2,488209
105,1,20000
106,2,919294
107,0,0
108,1,70000
109,0,0
110,1,1000000
111,4,1258876
112,5,45134891
113,2,950000
114,0,0
115,3,4479397
116,6,1172059
117,4,61050
118,1,5000
119,0,0
120,1,50000
121,3,849473
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,1,550000
130,1,50000
131,2,161339
132,1,250000
133,0,0
134,0,0
135,0,0
136,5,9900000
137,1,55152
138,30,26786330
139,0,0
140,0,0
141,1,100000
142,0,0
143,0,0
144,5,235000
145,0,0
146,8,5490000
147,3,900000
148,4,631234
149,9,2762000
150,0,0
151,0,0
152,2,301087
153,1,100000
154,2,132009
155,0,0
156,5,2363120
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,12,31960198
163,3,489704
164,4,5109363
165,3,1225000
166,18,19973000
167,1,2000000
168,1,1050
169,1,169700
170,1,57000
171,3,2800000
172,11,12941105
173,0,0
174,0,0
175,0,0
176,0,0
177,2,15600000
178,6,323456
179,0,0
180,4,3054436
181,0,0
182,0,0
183,12,1558716
184,21,23357416
185,2,6048
186,2,21500
187,0,0
188,3,1445116
189,0,0
190,6,7021512
191,5,890924
192,5,1222583
193,0,0
194,2,420177
195,2,5300000
196,0,0
197,2,600000
198,6,239707
199,7,19807689
200,1,5000000
201,1,5000000
202,5,1898524
203,0,0
204,0,0
205,8,1463786
206,1,1000000
207,0,0
208,1,500000
209,10,20121753
210,2,270000
211,3,7000000
212,2,220000
213,0,0
214,2,1150000
215,0,0
216,1,100000
217,0,0
218,25,14067139
219,2,400000
220,0,0
221,1,5000000
222,2,66127
223,0,0
224,4,1488169
225,2,568231
226,6,6661861
227,1,100000
228,0,0
229,0,0
230,2,4410000
231,8,1526100
232,0,0
233,1,60000
234,1,1500
235,0,0
236,4,201337
237,0,0
238,36,17976771
239,1,100000
240,3,398298
241,0,0
242,1,100000
243,14,40500000
244,3,253792
245,2,361337
246,0,0
247,1,20000
248,5,3601337
249,4,335275
250,1,329817
251,1,50000
252,3,300000
253,12,33658415
254,5,1250000
255,1,300000
256,3,650000
257,0,0
258,2,47734
259,0,0
260,1,2000000
261,0,0
262,3,444637
263,1,60000
264,2,20000000
265,1,5000
266,0,0
267,1,100000
268,1,100000
269,0,0
270,0,0
271,1,810000
272,3,121050
273,0,0
274,10,11497665
275,30,40505672
276,0,0
277,0,0
278,2,91371
279,6,2538018
280,1,100000
281,1,110000
282,7,691786
283,2,1960000
284,1,1880320
285,1,100000
286,0,0
287,0,0
288,2,412000
289,0,0
290,0,0
291,10,23153363
292,1,190000
293,2,170370
294,0,0
295,1,1150
296,13,2293613
297,222,274989245
298,0,0
299,2,579785
300,3,693847
301,0,0
302,1,367974
303,2,9040000
304,4,43500
305,0,0
306,33,26677905
307,0,0
308,2,82780
309,0,0
310,4,5679539
311,0,0
312,11,17255361
313,82,3000250
314,7,27262886
315,0,0
316,0,0
317,1,900000
318,20,66524257
319,0,0
320,2,3600000
321,2,550000
322,0,0
323,0,0
324,1,480000
