,max,base,f1,f2,ppr,it,wormhole,suc0,unsuc0,suc1,unsuc1,suc2,unsuc2,pct,fail_Blitz,fail_LN,ratio,wormholeBTC
,3000,0,0.0025,0.0025,4,0,1964037,76430,1846,76411,1865,76441,1835,0.989812332,,,,
,3000,0,0.0025,0.0025,4,1,1965381,76405,1871,76367,1909,76393,1883,0.98009429,,,,
,3000,0,0.0025,0.0025,4,2,1963062,76359,1917,76335,1941,76362,1914,0.98763524,,,,
,3000,0,0.0025,0.0025,4,3,1965029,76431,1845,76398,1878,76438,1838,0.982428115,,,,
,3000,0,0.0025,0.0025,4,4,1964755,76396,1880,76362,1914,76400,1876,0.982236155,,,,
,3000,0,0.0025,0.0025,4,5,1966044,76421,1855,76388,1888,76426,1850,0.982521186,,,,
,3000,0,0.0025,0.0025,4,6,1964072,76341,1935,76309,1967,76346,1930,0.983731571,,,,
,3000,0,0.0025,0.0025,4,7,1964909,76326,1950,76305,1971,76338,1938,0.98934551,,,,
Average,3000,0,0.0025,0.0025,4,3.5,1964661.125,76388.625,1887.375,76359.375,1916.625,76393,1883,0.98472555,4.375,33.625,7.685714286,0.019646611
,3000,0,0.0025,0.0025,50,0,24597285,804489,173961,801015,177435,805036,173414,0.980420999,,,,
,3000,0,0.0025,0.0025,50,1,24585240,804690,173760,800764,177686,805121,173329,0.977904843,,,,
,3000,0,0.0025,0.0025,50,2,24589174,805621,172829,801693,176757,805921,172529,0.977777401,,,,
,3000,0,0.0025,0.0025,50,3,24595977,804518,173932,800909,177541,805111,173339,0.979672301,,,,
,3000,0,0.0025,0.0025,50,4,24587790,804690,173760,801079,177371,805476,172974,0.979641542,,,,
,3000,0,0.0025,0.0025,50,5,24584039,804906,173544,801195,177255,805596,172854,0.97906406,,,,
,3000,0,0.0025,0.0025,50,6,24591512,805108,173342,800979,177471,805274,173176,0.976734227,,,,
,3000,0,0.0025,0.0025,50,7,24594569,805256,173194,801249,177201,805421,173029,0.977387261,,,,
Average,3000,0,0.0025,0.0025,50,3.5,24590698.25,804909.75,173540.25,801110.375,177339.625,805369.5,173080.5,0.978575329,459.75,4259.125,9.264002175,0.245906983
,3000,0,0.005,0.005,4,0,1961309,76416,1860,76368,1908,76427,1849,0.974842767,,,,
,3000,0,0.005,0.005,4,1,1962838,76371,1905,76317,1959,76395,1881,0.972434916,,,,
,3000,0,0.005,0.005,4,2,1960396,76348,1928,76289,1987,76347,1929,0.970306995,,,,
,3000,0,0.005,0.005,4,3,1962412,76419,1857,76382,1894,76439,1837,0.980464625,,,,
,3000,0,0.005,0.005,4,4,1962098,76376,1900,76336,1940,76395,1881,0.979381443,,,,
,3000,0,0.005,0.005,4,5,1963450,76412,1864,76352,1924,76422,1854,0.968814969,,,,
,3000,0,0.005,0.005,4,6,1961417,76323,1953,76287,1989,76334,1942,0.981900452,,,,
,3000,0,0.005,0.005,4,7,1962276,76313,1963,76268,2008,76324,1952,0.977589641,,,,
Average,3000,0,0.005,0.005,4,3.5,1962024.5,76372.25,1903.75,76324.875,1951.125,76385.375,1890.625,0.975716976,13.125,60.5,4.60952381,0.019620245
,3000,0,0.005,0.005,50,0,24597670,804191,174259,772324,206126,805518,172932,0.845400386,,,,
,3000,0,0.005,0.005,50,1,24585323,804386,174064,770416,208034,805340,173110,0.836709384,,,,
,3000,0,0.005,0.005,50,2,24589689,804922,173528,772162,206288,806151,172299,0.841192895,,,,
,3000,0,0.005,0.005,50,3,24596314,804241,174209,771166,207284,805476,172974,0.84043631,,,,
,3000,0,0.005,0.005,50,4,24587906,804825,173625,770983,207467,805777,172673,0.836880082,,,,
,3000,0,0.005,0.005,50,5,24584334,804788,173662,771199,207251,805733,172717,0.837930818,,,,
,3000,0,0.005,0.005,50,6,24592124,804475,173975,770493,207957,805434,173016,0.836591218,,,,
,3000,0,0.005,0.005,50,7,24594771,804869,173581,772448,206002,805540,172910,0.842618033,,,,
Average,3000,0,0.005,0.005,50,3.5,24591016.38,804587.125,173862.875,771398.875,207051.125,805621.125,172828.875,0.839719891,1034,34222.25,33.09695358,0.245910164
,3000,0,0.0125,0.0125,4,0,1961900,76381,1895,76242,2034,76432,1844,0.93166175,,,,
,3000,0,0.0125,0.0125,4,1,1963357,76339,1937,76246,2030,76384,1892,0.954187192,,,,
,3000,0,0.0125,0.0125,4,2,1960958,76324,1952,76189,2087,76370,1906,0.935313848,,,,
,3000,0,0.0125,0.0125,4,3,1963055,76397,1879,76256,2020,76435,1841,0.93019802,,,,
,3000,0,0.0125,0.0125,4,4,1962583,76360,1916,76208,2068,76396,1880,0.926499033,,,,
,3000,0,0.0125,0.0125,4,5,1963989,76403,1873,76252,2024,76429,1847,0.925395257,,,,
,3000,0,0.0125,0.0125,4,6,1961975,76291,1985,76173,2103,76341,1935,0.943889681,,,,
,3000,0,0.0125,0.0125,4,7,1962623,76302,1974,76157,2119,76333,1943,0.931571496,,,,
Average,3000,0,0.0125,0.0125,4,3.5,1962555,76349.625,1926.375,76215.375,2060.625,76390,1886,0.934839535,40.375,174.625,4.325077399,0.01962555
,3000,0,0.0125,0.0125,50,0,24555104,801674,176776,728009,250441,805521,172929,0.705858865,,,,
,3000,0,0.0125,0.0125,50,1,24542271,796975,181475,721742,256708,805760,172690,0.706931611,,,,
